Source,Target,Date,Location,Weight,Latitude,Longitude,Coordinates
WordPress,Twitter,1/1/2020 0:00:00,"Ottawa, Ontario, Canada",27,45.4215296,-75.6971931,"45.4215296, -75.6971930999999"
WordPress,Twitter,1/1/2022 0:00:00,"Tokyo, Japan",16,35.6764225,139.650027,"35.6764225, 139.650027"
WordPress,Voyant,1/1/2012 0:00:00,"Hamburg, Germany",16,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
WordPress,Voyant,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",47,40.813616,-96.7025955,"40.813616, -96.7025955"
WordPress,Voyant,1/1/2014 0:00:00,"Lausanne, Switzerland",41,46.5196535,6.6322734,"46.5196535, 6.6322734"
WordPress,Voyant,1/1/2015 0:00:00,"Sydney, Australia",43,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
WordPress,Voyant,1/1/2016 0:00:00,"Kraków, Poland",19,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
WordPress,Voyant,1/1/2017 0:00:00,"Montréal, Canada",36,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
WordPress,Voyant,1/1/2018 0:00:00,"Mexico City, Mexico",9,19.4326077,-99.133208,"19.4326077, -99.133208"
WordPress,Voyant,1/1/2019 0:00:00,"Utrecht, Netherlands",10,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
WordPress,Voyant,1/1/2020 0:00:00,"Ottawa, Ontario, Canada",2,45.4215296,-75.6971931,"45.4215296, -75.6971930999999"
WordPress,Voyant,1/1/2022 0:00:00,"Tokyo, Japan",31,35.6764225,139.650027,"35.6764225, 139.650027"
WordPress,Voyant Tools,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",9,40.813616,-96.7025955,"40.813616, -96.7025955"
WordPress,Voyant Tools,1/1/2014 0:00:00,"Lausanne, Switzerland",9,46.5196535,6.6322734,"46.5196535, 6.6322734"
WordPress,Voyant Tools,1/1/2015 0:00:00,"Sydney, Australia",15,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
WordPress,Voyant Tools,1/1/2016 0:00:00,"Kraków, Poland",11,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
WordPress,Voyant Tools,1/1/2017 0:00:00,"Montréal, Canada",9,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
WordPress,Voyant Tools,1/1/2018 0:00:00,"Mexico City, Mexico",9,19.4326077,-99.133208,"19.4326077, -99.133208"
WordPress,Voyant Tools,1/1/2019 0:00:00,"Utrecht, Netherlands",7,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
WordPress,Voyant Tools,1/1/2022 0:00:00,"Tokyo, Japan",11,35.6764225,139.650027,"35.6764225, 139.650027"
WordPress,Zotero,1/1/2009 0:00:00,"College Park, Maryland, United States",47,38.9896967,-76.93776,"38.9896967, -76.93776"
WordPress,Zotero,1/1/2010 0:00:00,"London, England, United Kingdom",6,51.5072178,-0.1275862,"51.5072178, -0.1275862"
WordPress,Zotero,1/1/2011 0:00:00,"Stanford, California, United States",7,37.424106,-122.1660756,"37.4241059999999, -122.1660756"
WordPress,Zotero,1/1/2012 0:00:00,"Hamburg, Germany",5,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
WordPress,Zotero,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",13,40.813616,-96.7025955,"40.813616, -96.7025955"
WordPress,Zotero,1/1/2014 0:00:00,"Lausanne, Switzerland",9,46.5196535,6.6322734,"46.5196535, 6.6322734"
WordPress,Zotero,1/1/2015 0:00:00,"Sydney, Australia",6,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
WordPress,Zotero,1/1/2016 0:00:00,"Kraków, Poland",9,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
WordPress,Zotero,1/1/2017 0:00:00,"Montréal, Canada",12,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
WordPress,Zotero,1/1/2018 0:00:00,"Mexico City, Mexico",4,19.4326077,-99.133208,"19.4326077, -99.133208"
WordPress,Zotero,1/1/2019 0:00:00,"Utrecht, Netherlands",2,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
WordPress,Zotero,1/1/2022 0:00:00,"Tokyo, Japan",9,35.6764225,139.650027,"35.6764225, 139.650027"
Zotero,Drupal,1/1/2009 0:00:00,"College Park, Maryland, United States",40,38.9896967,-76.93776,"38.9896967, -76.93776"
Zotero,Drupal,1/1/2010 0:00:00,"London, England, United Kingdom",7,51.5072178,-0.1275862,"51.5072178, -0.1275862"
Zotero,Drupal,1/1/2011 0:00:00,"Stanford, California, United States",5,37.424106,-122.1660756,"37.4241059999999, -122.1660756"
Zotero,Drupal,1/1/2012 0:00:00,"Hamburg, Germany",12,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Zotero,Drupal,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",25,40.813616,-96.7025955,"40.813616, -96.7025955"
Zotero,Drupal,1/1/2014 0:00:00,"Lausanne, Switzerland",16,46.5196535,6.6322734,"46.5196535, 6.6322734"
Zotero,Drupal,1/1/2015 0:00:00,"Sydney, Australia",4,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Zotero,Drupal,1/1/2016 0:00:00,"Kraków, Poland",27,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Zotero,Drupal,1/1/2017 0:00:00,"Montréal, Canada",9,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Zotero,Drupal,1/1/2018 0:00:00,"Mexico City, Mexico",2,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,Drupal,1/1/2019 0:00:00,"Utrecht, Netherlands",4,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Zotero,Drupal,1/1/2022 0:00:00,"Tokyo, Japan",9,35.6764225,139.650027,"35.6764225, 139.650027"
Zotero,Gephi,1/1/2011 0:00:00,"Stanford, California, United States",7,37.424106,-122.1660756,"37.4241059999999, -122.1660756"
Zotero,Gephi,1/1/2012 0:00:00,"Hamburg, Germany",5,53.5488282,9.9871703,"53.5488282, 9.98717029999999"
Zotero,Gephi,1/1/2013 0:00:00,"Lincoln, Nebraska, United States",24,40.813616,-96.7025955,"40.813616, -96.7025955"
Zotero,Gephi,1/1/2014 0:00:00,"Lausanne, Switzerland",19,46.5196535,6.6322734,"46.5196535, 6.6322734"
Zotero,Gephi,1/1/2015 0:00:00,"Sydney, Australia",13,-33.8688197,151.2092955,"-33.8688197, 151.2092955"
Zotero,Gephi,1/1/2016 0:00:00,"Kraków, Poland",28,50.0646501,19.9449799,"50.0646500999999, 19.9449799"
Zotero,Gephi,1/1/2017 0:00:00,"Montréal, Canada",34,45.5018869,-73.5673919,"45.5018869, -73.5673918999999"
Zotero,Gephi,1/1/2018 0:00:00,"Mexico City, Mexico",8,19.4326077,-99.133208,"19.4326077, -99.133208"
Zotero,Gephi,1/1/2019 0:00:00,"Utrecht, Netherlands",13,52.0907374,5.1214201,"52.0907373999999, 5.1214201"
Zotero,Gephi,1/1/2022 0:00:00,"Tokyo, Japan",12,35.6764225,139.650027,"35.6764225, 139.650027"
Zotero,Google Books,1/1/2008 0:00:00,"Oulu, Finland",12,65.0120888,25.4650773,"65.0120888, 25.4650773"
